Connective Name	Parts of Speech	Sense (PDTB-3)
más aún	csu	EXPANSION:Conjunction,EXPANSION:Instantiation
más bien	adv	EXPANSION:Substitution:Arg2-as-subst
más tarde	adv	TEMPORAL:Asynchronous:Precedence
mejor dicho	adv	EXPANSION:Substitution:Arg2-as-subst
menos aún	adv	EXPANSION:Conjunction
mientras	csu	COMPARISON:Contrast,TEMPORAL:Synchronous,CONTINGENCY:Condition:Arg1-as-cond,EXPANSION:Conjunction
mientras tanto	adv	TEMPORAL:Synchronous
ni	cco	EXPANSION:Conjunction
ni ... ni	cco	EXPANSION:Conjunction
no obstante	adv	COMPARISON:Concession:Arg2-as-denier
o bien	cco	EXPANSION:Disjunction
o sea	other	CONTINGENCY:Cause:Result,EXPANSION:Equivalence
o sea que	csu	CONTINGENCY:Cause:Result
o;u	cco	EXPANSION:Disjunction
para	prep	CONTINGENCY:Purpose:Arg2-as-goal
para que	csu	CONTINGENCY:Purpose:Arg2-as-goal,CONTINGENCY:Cause:Result
paralelamente	adv	TEMPORAL:Synchronous,EXPANSION:Conjunction,COMPARISON:Contrast
pero	cco	COMPARISON:Concession:Arg2-as-denier,COMPARISON:Contrast
por	prep	CONTINGENCY:Cause:Reason
por añadidura	adv	EXPANSION:Conjunction
por cierto	adv	EXPANSION:Conjunction
por consiguiente	adv	CONTINGENCY:Cause:Result
por contra	adv	COMPARISON:Contrast
por ejemplo	other	EXPANSION:Instantiation
por el contrario	adv	COMPARISON:Contrast,EXPANSION:Substitution:Arg2-as-subst
por ello;por eso;por esto	adv	CONTINGENCY:Cause:Result
por eso mismo	adv	CONTINGENCY:Cause:Result
por fin	adv	TEMPORAL:Asynchronous:Precedence
por lo demás	adv	EXPANSION:Conjunction,EXPANSION:Exception:Arg1-as-excpt
por lo tanto	adv	CONTINGENCY:Cause:Result
por otra parte	adv	EXPANSION:Conjunction
por otro lado	adv	EXPANSION:Conjunction,COMPARISON:Contrast
por su parte	adv	COMPARISON:Contrast
por tanto	adv	CONTINGENCY:Cause:Result
por último	adv	TEMPORAL:Asynchronous:Precedence
por un lado	adv	COMPARISON:Contrast
por una parte	adv	COMPARISON:Contrast
porque	csu	CONTINGENCY:Cause:Reason
posteriormente	adv	TEMPORAL:Asynchronous:Precedence
previamente	adv	TEMPORAL:Asynchronous:Succession
primero	adv	TEMPORAL:Asynchronous:Succession,EXPANSION:Conjunction
pues	csu	CONTINGENCY:Cause:Result,CONTINGENCY:Cause:Reason
puesto que	csu	CONTINGENCY:Cause:Reason
salvo	prep	EXPANSION:Exception:Arg2-as-excpt
salvo que	csu	CONTINGENCY:Negative-Condition:Arg2-as-negcond
segundo	adv	TEMPORAL:Asynchronous:Precedence,EXPANSION:Conjunction
si	csu	CONTINGENCY:Condition:Arg1-as-cond
si bien	csu	COMPARISON:Concession:Arg1-as-denier
siempre que	csu	CONTINGENCY:Condition:Arg1-as-cond
siempre y cuando	csu	CONTINGENCY:Condition:Arg1-as-cond
sin embargo	cco	COMPARISON:Concession:Arg2-as-denier
sino	cco	EXPANSION:Substitution:Arg2-as-subst
sino que	cco	EXPANSION:Substitution:Arg2-as-subst
sobre todo	adv	EXPANSION:Instantiation
también	adv	EXPANSION:Conjunction
tampoco	adv	COMPARISON:Similarity
y;e	cco	EXPANSION:Conjunction
ya que	csu	CONTINGENCY:Cause:Reason
